date,quiet luxury,old money,suede,minimalism,isPartial
2026-03-10,1,12,23,1,False
2026-03-11,1,12,20,1,False
2026-03-12,1,12,23,1,False
2026-03-13,1,12,29,1,False
2026-03-14,1,13,30,1,False
2026-03-15,1,13,30,1,False
2026-03-16,1,11,25,1,False
2026-03-17,1,11,24,1,False
2026-03-18,1,11,22,1,False
2026-03-19,1,11,26,2,False
2026-03-20,1,12,33,2,False
2026-03-21,1,12,33,2,False
2026-03-22,2,12,35,2,False
2026-03-23,1,12,33,1,False
2026-03-24,1,11,36,2,False
2026-03-25,1,12,44,1,False
2026-03-26,1,12,55,1,False
2026-03-27,1,12,66,2,False
2026-03-28,2,14,76,2,False
2026-03-29,2,14,76,2,False
2026-03-30,1,12,64,2,False
2026-03-31,1,13,64,2,False
2026-04-01,2,12,68,2,False
2026-04-02,1,13,70,2,False
2026-04-03,1,14,61,2,False
2026-04-04,2,14,83,1,False
2026-04-05,2,14,91,2,False
2026-04-06,2,14,76,2,False
2026-04-07,1,13,69,2,False
2026-04-08,1,13,68,2,False
2026-04-09,2,14,74,2,False
2026-04-10,2,14,80,2,False
2026-04-11,2,15,84,2,False
2026-04-12,2,15,89,2,False
2026-04-13,2,12,76,1,False
2026-04-14,1,13,79,2,False
2026-04-15,2,12,76,1,False
2026-04-16,2,13,80,2,False
2026-04-17,2,16,84,2,False
2026-04-18,2,16,91,2,False
2026-04-19,1,14,82,2,False
2026-04-20,1,13,71,2,False
2026-04-21,1,13,69,2,False
2026-04-22,1,12,72,2,False
2026-04-23,1,12,67,2,False
2026-04-24,1,13,67,2,False
2026-04-25,1,13,70,2,False
2026-04-26,2,13,79,2,False
2026-04-27,1,12,61,2,False
2026-04-28,1,14,63,2,False
2026-04-29,1,13,61,2,False
2026-04-30,1,14,68,2,False
2026-05-01,1,15,73,2,False
2026-05-02,2,16,79,2,False
2026-05-03,1,17,73,3,False
2026-05-04,2,16,68,2,False
2026-05-05,2,15,68,2,False
2026-05-06,2,16,84,2,False
2026-05-07,2,18,91,2,False
2026-05-08,2,18,93,2,False
2026-05-09,2,17,92,2,False
2026-05-10,3,19,100,2,False
2026-05-11,2,15,91,2,False
2026-05-12,2,17,86,2,False
2026-05-13,3,16,74,2,False
2026-05-14,3,16,71,2,False
2026-05-15,3,16,72,2,False
2026-05-16,3,15,65,2,False
2026-05-17,4,14,67,2,False
2026-05-18,3,14,56,2,False
2026-05-19,3,13,55,2,False
2026-05-20,2,13,51,1,False
2026-05-21,2,12,47,2,False
2026-05-22,2,12,49,2,False
2026-05-23,2,15,53,2,False
2026-05-24,2,14,53,2,False
2026-05-25,2,14,45,1,False
2026-05-26,2,13,42,2,False
2026-05-27,1,10,32,1,False
2026-05-28,1,10,31,1,False
2026-05-29,1,10,32,1,False
2026-05-30,1,10,35,1,False
2026-05-31,1,11,42,1,False
2026-06-01,1,10,38,1,False
2026-06-02,1,10,31,1,False
2026-06-03,1,10,34,1,False
2026-06-04,1,10,34,1,False
2026-06-05,1,10,33,1,False
2026-06-06,1,11,31,1,False
2026-06-07,1,12,33,1,False
2026-06-08,1,10,27,1,False
2026-06-09,1,10,25,1,False
2026-06-10,1,8,26,1,True
